cust,monthly_bill,tax_body,biz_type,total_yards,compost,garbage,recycle,needed_recycle,needed_compost,enough_recycle_compost,compost_cost,garbage_cost,recycle_cost
98,888.98,C,MINI MART,20,0,4,16,2,1,0,0,813.98,150
98,888.98,C,MINI MART,20,0,4,16,2,1,0,0,813.98,150
98,888.98,C,MINI MART,20,0,4,16,2,1,0,0,813.98,150
218,965.4,COUNTY,WINERY,9.92,0.48,4,5.4399999999999995,2,1,0,0,890.4,75
218,965.4,COUNTY,WINERY,9.92,0.48,4,5.4399999999999995,2,1,0,0,890.4,75
218,965.4,COUNTY,WINERY,9.92,0.48,4,5.4399999999999995,2,1,0,0,890.4,75
218,965.4,COUNTY,WINERY,9.92,0.48,4,5.4399999999999995,2,1,0,0,890.4,75
218,965.4,COUNTY,WINERY,9.92,0.48,4,5.4399999999999995,2,1,0,0,890.4,75
218,965.4,COUNTY,WINERY,9.92,0.48,4,5.4399999999999995,2,1,0,0,890.4,75
345,890.4,COUNTY,WINERY,4,0,4,0,2,1,0,0,890.4,0
567,97.87,S,MEDICAL,0.48,0,0,0.48,0,0,1,0,0,0
717,65.25,S,GROCERY,0.48,0,0,0.48,0,0,1,0,0,0
767,89.71,COUNTY,WINERY,0.96,0.48,0,0.48,0,0,1,0,0,0
767,89.71,COUNTY,WINERY,0.96,0.48,0,0.48,0,0,1,0,0,0
800,706.5,COUNTY,WINERY,2.88,0,0,2.88,0,0,1,0,0,100.93
800,706.5,COUNTY,WINERY,2.88,0,0,2.88,0,0,1,0,0,100.93
806,597.92,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,597.92,0
806,597.92,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,597.92,0
806,597.92,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,597.92,0
806,597.92,COUNTY,WINERY,3.44,0,2,1.44,1,1,0,0,597.92,0
939,195.74,S,OFFICE BLD,1.92,1.44,0,0.48,0,0,1,0,0,0
939,195.74,S,OFFICE BLD,1.92,1.44,0,0.48,0,0,1,0,0,0
939,195.74,S,OFFICE BLD,1.92,1.44,0,0.48,0,0,1,0,0,0
939,195.74,S,OFFICE BLD,1.92,1.44,0,0.48,0,0,1,0,0,0
